"rob_ID",".id","ID","biorxiv","published","title","year","journal","doi","author","author_name","author_email","author_address","hypothesis","rationale","MR_design","outcome","outcome_info","outcome_group","outcome_definition","outcome_study","outcome_age_range","outcome_sex","outcome_n_case_current","outcome_n_control_current","outcome_n_case_og","outcome_n_control_og","outcome_n_difference_reason","outcome_health_status","outcome_population","exposure","exposure_definition","exposure_study","exposure_age","exposure_sex","exposure_n_current","exposure_n_og","exposure_n_difference_reason","exposure_health_status","exposure_population","exposure_covariates_model","exposure_genotyping_dataset","exposure_independence","exposure_pleiotropy","exposure_pvalue","exposure_palindrome","exposure_proxy","exposure_HWE","IV_single","IV_multiple","IV_GRS","n_SNP_og","n_SNP_difference_reason","power_calculation","power_calculation_how","MR_method","MR_sensitivity_method1","MR_sensitivity_method2","MR_sensitivity_method3","MR_sensitivity_method4","MR_sensitivity_method5","MR_sensitivity_method_results","IV_strength","analysis_software","analysis_programme","replication_independent","replication_subsetting","multiple_testing","exposure_units","outcome_units","effect_estimate","estimate","se","ci_percent","ci_lower","ci_upper","p","adjustment_method","p_adjusted","limitations_overall","limitations_pleiotropy","limitations_population_stratification","limitations_statistical_power","notes",".id2","formatted_estimate","formatted_ci_lower","formatted_ci_upper"
1,"brain_alzheimers_BMI.csv",104,"no","yes","Body Mass Index and Risk of Alzheimer’s Disease: A Mendelian Randomization Study of 399,536 Individuals",2017,"Journal of Clinical Endocrinology and Metabolism","10.1210/jc.2017-00195","Nordestgaard","Ruth Frikke-Schmidt","ruth.frikke-schmidt@regionh.dk.","Department of Clinical Biochemistry, KB 3011, Rigshospitalet, Copenhagen University Hospital, Blegdamsvej 9, DK-2100 Copenhagen Ø, Denmark.","Effect of body mas index on Alzheimers disease","Recently, data on 2,000,000 people established that low body mass index (BMI) is associated
with increased risk of dementia. Whether this observational association reflects a causal
effect remains to be clarified.","Two-sample summary-level","alzheimer's disease","alzheimer's disease","brain","Alzheimer's disease cases","IGAP Not reported  European both","Not discussed","both",17008,37154,17008,37154,NA,"Healthy","European","BMI","BMI","Speliotes 2010 BMI Europeans both","Age range in the Speliotes paper is 14-108","both","249796",249796,NA,"Healthy","European","age, age squared and sex.",NA,"Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed in the Speliotes paper",NA,NA,32,32,"This was a sensitivity analysis to the previous row (main analysis)","Not discussed",NA,"Inverse variance weighted",NA,NA,NA,NA,NA,"This was a sensitivity analysis to the row above, which was a one-sample MR","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","SD","Case/control","OR",1.02,NA,95,0.86,1.22,0.04,NA,NA,"The reason for this is that the associations of the genetic variants with BMI are relatively small, and therefore, large numbers of cases
and controls are required to reliably preclude any causal relation. A limitation
could be the observation that genetically low BMI is associated with low risk of hypertension. This is expected, as a causal relationship exists between high BMI and hypertension (36). However, because genetically low BMI is associated with low risk of hypertension, and because low risk of hypertension is associated with low risk of Alzheimer’s disease, these associations cannot explain the present observational relation between low BMI and high risk of Alzheimer’s disease.","Not discussed","They mention that their findings are based in a large homogenous population such that they can control for a number of important confounders and they included a positive control","Not discussed","This is the weighted allele score group and the resul using the simple unweighted score is similar","BMI on alzheimer's disease",0.0198026272961797,-0.150822889734584,0.198850858745165
2,"brain_alzheimers_BMI.csv",109,"no","yes","Associations between Potentially Modifiable
Risk Factors and Alzheimer Disease: A
Mendelian Randomization Study",2015,"PLOS Mecicine","10.1371/journal.pmed.1001841","Østergaard","Robert Scott","Robert.Scott@mrc-epid.cam.ac.uk","MRC Epidemiology Unit, Institute of Metabolic Science, University of Cambridge, Cambridge, United Kingdom","Effect of body mass index on Alzheimers","Potentially modifiable risk factors including obesity, diabetes, hypertension, and smoking are associated with Alzheimer disease (AD) and represent promising targets for intervention. However, the causality of these associations is unclear. We sought to assess the causal nature of these associations using Mendelian randomization (MR)","Two-sample summary-level","alzheimer's disease","alzheimer's disease","brain","Defined in individual GWASs","Lambert  2013 Alzaheimers European  both","51-84","both",17008,37154,25580,48466,"Just used stage 1 of GWAS ","Case/control","European ancestry","BMI","BMI","Speliotes 2010 BMI Europeans both",NA,"both","not reported",249796,"not reported","healthy","European","Not discussed","Not discussed","R2 < 0.01","Excluded SNPs with a more significant association with AD than expectedby chance (p < 0.05/302 = 0.00017)","5x10-8","Not discussed","R2 (> 0.8; except for rs4420638, where the best available proxy was rs6857 (R2 = 0.46))","Not discussed",NA,32,NA,32,NA,"Not discussed",NA,"Inverse variance weighted","Excluded SNPs associated with outcome",NA,NA,NA,NA,"Consistent with main analysis","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","SD","Case/control","OR",0.99,NA,95,0.8,1.19,0.779,"Not discussed","Not discussed","Potential limitations of this study include the small proportion of intermediate trait variance explained by genetic variants and other implicit limitations of MR analyses","Not disucssed - but removed SNPs assoiated with alzheimers in sensitivity analyses which was consisitent with main","Not discussed","Limited strength of the SNPs to explain variation inthe intermediate traits, restricting statistical power.",NA,"BMI on alzheimer's disease",-0.0100503358535015,-0.22314355131421,0.173953307123438
3,"brain_stroke_hemorrhagic_BMI.csv",35,"no","yes","Causal Associations of Adiposity and Body Fat Distribution with Coronary Heart Disease, Stroke Subtypes and Type 2 Diabetes: A Mendelian Randomization Analysis",2017,"Circulation","10.1161/CIRCULATIONAHA.116.026560","Dale","Caroline E Dale","ku.ca.lcu@elad.c","Farr Institute of Health Informatics Research, UCL Institute of Health Informatics, University College London, 222 Euston Road, London, NW1 2DA, United Kingdom","Effect of body mass index and waist hip ratio adjusted for body mass idnex on cardiometabolic traits","Implications of different adiposity measures on cardiovascular disease aetiology remain unclear","one-sample meta-analysis","stroke","hemorrhagic","brain","Defined in individual GWASs","Current study","63.5 (mean)","both",2,2,NA,NA,NA,"Healthy","European","BMI","BMI","Locke 2015 BMI All ancestries both",NA,NA,"339224",339224,NA,"Healthy","European (Individuals of non-European ancestry were removed to minimise confounding by population structure.)","Not discussed","Defined in individual cohorts","Not discussed","Linear and logistic models with confounders","5×10−8","Not discussed","LD R2 > 0.8","Yes",NA,97,NA,97,NA,"Yes",1,"Inverse variance weighted (fixed effects)","MR Egger",1,NA,NA,NA,"Consistent with main analysis","R2 1.7%","Stata version 14","mrrobust","Not discussed","Not discussed","Correction for two exposures P < 0.025","SD","Case/control","OR",1.51,NA,95,0.73,3.13,2,"None",NA,"Limitations include the potential pleiotropic effects of the multi-SNP instruments. However, results suggest little evidence for unbalanced pleiotropy","With multi-SNP instruments, there is a chance that pleiotropic effects might become balanced such that causal inference regarding the exposure is possible. In this study we perform MR analyses of BMI and WHR together with recently developed methods that are robust to horizontal pleiotropy under additional assumptions. We therefore employ MR-Egger regression to provide a test for unbalanced pleiotropy and a causal estimate of exposure on outcome in its presence10, 11. In addition we use the weighted median estimator which can give valid estimates even in the presence of horizontal pleiotropy provided at least 50 per cent of the information in the analysis comes from variants that are valid instruments, and has the advantage of retaining greater precision in the estimates compared to MR-Egger12.","Not discussed",NA,"Performed MVMR as sensitivity: We found some evidence for association of both adiposity instruments with smoking, but not with other major confounders (Supplemental Table 16). To account for this, sensitivity analyses were undertaken for each cardiometabolic disease using multivariate MR including the effect of each SNP used as instrument for BMI and WHRadjBMI on smoking. MR estimates were found to be robust to this adjustment","BMI on stroke",0.412109650826833,-0.3147107448397,1.14103300455206
4,"brain_stroke_hemorrhagic_BMI.csv",48,"no","yes","The Role of Adiposity in Cardiometabolic Traits: A
Mendelian Randomization Analysis",2013,"PLOS Medicine","10.1371/journal.pmed.1001474","Fall","Erik Ingelsson","erik.ingelsson@medsci.uu.se","Molecular Epidemiology and Science for Life Laboratory, Department of Medical Sciences, Uppsala University, Uppsala, Sweden","Effect of body mass index on cardiometabolic traits","The association between adiposity and cardiometabolic traits is well known from epidemiological studies. Whilst the causal relationship is clear for some of these traits, for others it is not.","one-sample meta-analysis","stroke","hemorrhagic","brain","Either defined from hospital discharge registry or cause of death registry (main diagnosis); or from adjudicated events
ICD-8 codes: 430-431, ICD-9 codes 430-432, ICD-10 codes: I60-I62, Note: Self-reported events are considered not useful","Current study","18+","Both",1,1,NA,NA,NA,"Healthy","European","BMI","BMI","Current study","18+","Both","77020",NA,NA,"Healthy","European","Age, Sex","Whenever rs9939609 was not genotyped directly, we used either (i) the HapMap II CEU (European) reference panel–imputed genetic information from genome-wide association studies (http://hapmap.ncbi.nlm.nih.gov/downloads/genotypes/2008-10_phaseII/) for rs9939609 (n = 5) or (ii) genotype information from a predefined list of proxies that are in high linkage disequilibrium (LD) with rs9939609 (n = 10, r2>0.9; Table S3)",NA,"Not discussed","Not discussed",NA,"R2 > 0.9","p>0.0001",1,NA,NA,NA,NA,"No",NA,"Inverse variance weighted (multiplicative random effects)","Not discussed",NA,NA,NA,NA,"Observational estimates were similar","Not discussed","Varied by cohort but  at least one cohort used PLINK, R, SPSS, STATA","Not discussed","Not discussed","Not discussed","No","SD","Case/control","OR",0.957,NA,95,0.657,1.396,1,"None",NA,"The limitations of our study are tied to the validity of the assumptions underlying causal interpretation within MR studies.","the precise mechanism of the FTO polymorphisms is still unclear, and potential pleiotropy cannot completely be ruled out","all studies included only individuals of European ancestry. Hence, bias from population stratification is deemed unlikely","Post hoc power calculation showed that for the binary traits with non-significant IVs (CHD, ischemic stroke, and all-cause stroke), we had an 80% chance of detecting an IV estimator odds ratio (OR) of 1.08–1.09/BMI unit or higher, and a 95% chance of detecting an OR of 1.13–1.15/BMI unit or higher.",NA,"BMI on stroke",-0.0439518875291828,-0.420071260497527,0.333611004340181
5,"brain_stroke_ischemic_BMI.csv",26,"yes","yes","Causal relationships between obesity and the leading causes of death in women and men
",2019,"PLOS Genetics","10.1371/journal.pgen.1008405","Censin","Cecilia M Lindgren","lindgrenpa@bdi.ox.ac.uk","Big Data Institute at the Li Ka Shing Centre for Health Information and Discovery, University of Oxford, Oxford, United Kingdom, Wellcome Centre for Human Genetics, Nuffield Department of Medicine, University of Oxford, Oxford, United Kingdom, Program in Medical and Population Genetics, Broad Institute, Cambridge, Massachusetts, United States of America","Effect of body mass index on multiple disease outcomes","Previous studies have found causal relationships between higher BMI and WHR adjusted for BMI (WHRadjBMI) and type 2 diabetes (T2D) and coronary artery disease (CAD), using a limited number of previously known obesity-associated single nucleotide polymorphisms (SNPs). However, sex-specific relationships are largely unexplored as is the the role that obesity traits play in the leading causes of death beyond these cardiometabolic diseases.","One-sample","stroke","ischemic","brain","Codes that denote ischemic stroke","Current study","40-69","both",3351,420156,NA,NA,NA,NA,"European","BMI","BMI","Pulit 2019 BMI European both","18+","both","Not discussed",806834,NA,"Healthy","European","Adjustments were made for baseline age, age2, array type, assessment centre, 10 principalcomponents, and sex if applicable, for all traits when in clinical units and for binary outcomes,and array and 10 principal components if rank inverse normal transformed (where adjustmentfor age, age2, assessment centre, and if applicable sex had already been performed in the rankinverse normal transformation of the residuals)","HRC","We then pruned these SNPs for LD independence, so that not correlated SNPs from different sex-specific analyses would be included, and to obtain a set of the same SNPs for all sex strata. Independent SNPs were selected by taking all the SNPs specified as “index” SNPs in the men, women or combined-sexes analyses and then keeping the SNP with the lowest combined-sexes P-value within each 1 Mb sliding window for BMI, WHR, and WHRadjBMI separately. We later excluded SNPs based on long-distance LD (r2>0.05)","Extensive re-analysis using differnet SNP sets and startification by smoking etc.","5x10-9","Not discussed","Not discussed","P >= 1x10-6",NA,NA,565,806,"Not all exclusions explained. For all GRSs, any SNPs found to be non-biallelic in the UK Biobank were excluded (n=6, rs7798002, rs73646205, rs10828247, rs10892873, rs699370, rs805768), as this would violate the additive assumption. Four SNPs were also excluded as they failed post-imputation quality control (rs11500477, rs144926207, rs547943994, rs9638713). To further ascertain that there was no LD between SNPs in a GRS, we computed the r2 between all pairs of SNPs included in an instrument–for pairs of correlated (r2>0.05) SNPs included in the same instrument, the SNP in each pair with the highest P-value was excluded (rs1025395, rs9302652, rs8189480).","Not discussed",NA,"Wald ratio","MR Egger",1,NA,NA,NA,"Consistent with main analysis: A few of the GRSs used in the main analysis showed evidence of directional pleiotropy in the MR-Egger intercept test. The MR-Egger point estimates for all these associations were of lower magnitude than the point estimates from the main MR analyses. Despite this, for all the disease outcome MR analyses where one sex had significantly higher estimates than the other the point estimates using the IVW, MR-Egger, and weighted median methods were all higher in the same sex as in the main analysis. This indicates that the sex differences we see are robust using different MR methods to compute causal estimates","Lowest F stat of any GRS was 4,921. We assessed the strengths of associations between the GRSs and their respective obesity trait by computing trait variance explained and the F-statistics. First, we standardized the obesity traits by rank inverse normal transformation of the residuals after regression of the obesity trait on baseline age, age2, assessment centre, and if applicable sex, after any sample quality exclusions. This was done separately for men and women in the sex-specific analyses, but jointly in the combined analyses. For WHRadjBMI, we also adjusted for BMI. We thereafter performed linear regression, adjusting for array type and 10 principal components. Trait variance explained was defined as the increase in adjusted R2 by inclusion of the GRS in the linear regression model. F-statistics were computed using the formula F=((n-k-1)/k)(R^2/〖1-R〗^2 ), where n is the number of observations, k=1 for number of instruments, and R2 the unadjusted R2","R","R package MendelianRandomization","Not discussed","Replicated in white british only subset. Consitent with main analysis","For the obesity trait-disease analyses, the P-value threshold was set at <0.001 (= 0.05/51) for the total of 51 obesity trait-disease combinations investigated in the study. For the obesitytrait-risk factor analyses, the P-value threshold was set at <0.003 (= 0.05/15), for the total of 15obesity trait-risk factor combinations investigated in the study.","SD","Case/control","OR",1.38,NA,95,1.2,1.59,2,"Bonferromi for 51 tests","0.000980392156862745","imbalances in the proportion of women and men
in included studies, differential availability of summary-level sex-stratified GWAS data and
the potential for biases to operate differentially between women and men pose additional complexities in deciphering underlying causal effects. It is possible that our genetic instrument for WHRadjBMI might show features of colliderbias whereby SNPs included in the GRS associate with both higher WHR and lower BMI leading to potentially spurious findings. Sensitivity analysis supported main findings. Different SNPs and weightings for SNPs all supported main findings.","Performed extensive re-analysis using different SNP sets which were all consistent with main analysis","Results not generalizeable outside of Europeans. Recent studies have highlighted potential population stratification in both Genetic Investigation of ANthropometric Traits (GIANT) and UKBB. Another study has indicated that GRS distributions can differ slightly between different European populations. We therefore conducted analyses both in all Europeans (self-report of any “white” category) in the main analyses and in a subset of British participants only (in the “White British ancestry subset” as classified by the UK Biobank. The results were highly similar to those performed in all Europeans.","Samll case samples in cancers may have lead to weak power. In women, the effects of WHR were directionally consistent with harm, but the estimates were imprecise, probably reflecting insufficient powerin the sex-stratified analysis.",NA,"BMI on stroke",0.322083499169113,0.182321556793955,0.46373401623214
6,"brain_stroke_ischemic_BMI.csv",81,"no","yes","Type 2 diabetes, glucose, insulin, BMI, and ischemic stroke subtypes: Mendelian randomization study",2017,"Neurology","10.1212/WNL.0000000000004173","Larsson","Susanna Larsson","Susanna.Larsson@ki.se","Stroke Research Group, University of Cambridge, UK and Unit of Nutritional Epidemiology, Institute of Environmental Medicine, Karolinska Institutet, Stockholm","Effect of body mass index, type 2 diabetes, fasting glucose, and fasting insulin on ischemic stroke subtypes","Stroke is one of the leading causes of disability and death worldwide. The burden of stroke is projected to increase considerably in the next decades. Hence, there is a need to develop effective prevention strategies for stroke, which necessitates a better understanding of the underlying risk factors","Two-sample summary-level","stroke","ischemic","brain","Strokes defined by the Trial of Org 10172 in Acute Stroke Treatment (TOAST) classification system with confirmation with brain imaging","Traylor/Meschia 2012/2013 Stroke European both","15-105","both",18476,37296,26838,78641,"They excluded overlapping participants (but not clear how many or who else was removed) - plus, the numbers quoted in column S (""In the consortium/OG GWAS: size/case"") are the total number of cases rather than subtype specific","Case/control","European ancestry","BMI","BMI","Locke 2015 BMI European adults both","11-108","Both","Not discussed",322154,NA,"Healthy","European ancestries",NA,NA,NA,"Not discussed","5x10-8","Not discussed","Not discussed","Not discussed",NA,77,NA,77,NA,"Not discussed",NA,"Inverse variance weighted","MR Egger",1,NA,NA,NA,"Consistent with main analysis","Not discussed","Stata version 14","Not discussed","Not discussed","Not discussed","Bonferroni-correction of 0.05/16 = 0.003","SD","Case/control","OR",1.11,NA,95,0.98,1.27,1,"None",NA,"Because our MR study had limited statistical power to detect such a small increase in risk, we cannot rule out the possibility of a causal association between BMI and ischemic stroke. And they discuss general limitations including pleiotropy, canalization, population stratification, binary exposures and monotonicity assumption, variance explained (eg <3% in BMI) and therefore limited power.","Pleiotropy (i.e., the genetic association with the outcome is through a different causal pathway and not via the risk factor of interest) could have influenced our results.","We cannot entirely rule out population stratification as a source of bias in this study. Nevertheless, restriction of the data to largely European-descent individuals reduced potential bias due to population stratification.","Thus, we cannot exclude that the lack of significant associations of fasting glucose, fasting insulin, and BMI with ischemic stroke subtypes is due to insufficient statistical power.","Note that the sample sizes in the contributing GWAS are difficult to extract","BMI on stroke",0.104360015324243,-0.0202027073175195,0.2390169004705
7,"cancer_breast_cancer_birthweight_ER.csv",51,"no","yes","Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer",2016,"IJE","10.1093/ije/dyw129","Gao","Peter Kraft","pkraft@hsph.harvard.edu","Program in Genetic Epidemiology and Statistical Genetics, Harvard T.H. Chan School of Public Health, Boston, MA, USA,","Effect of birthweight, childhood and adult body mass index, and waist-hip ratio on the risks of breast, ovarian, prostate, colorectal and lung cancer","Adiposity traits have been associated with risk of many cancers in observational studies, but whether these associations are causal is unclear.","Two-sample summary-level","breast cancer","ER-","cancer","Defined in individual GWASs","Fehringer 2016 Breast Er Negative European both","18+","both",4939,13128,4939,13128,NA,"Healthy","European","birth weight","birth weight","Horikoshi 2013 Birth Weight Europeans both",NA,"both","Not discussed",69308,"Not discussed","Healthy","European",NA,NA,"Not discussed","Not discussed","5x10-8","Not discussed","r2  > 0.9","Not discussed",NA,NA,7,7,NA,"Not discussed",NA,"Inverse variance weighted","MR Egger",NA,NA,NA,NA,"Consistent with main analysis","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Bonferroni for 48 tests","SD","Case/control","OR",1.01,NA,95,0.66,1.53,0.98,"None",NA,"Discuss several: MR assumptions, limits of summary level approach, limited power","To test for and correct for bias due to pleiotropy where the InSIDE assumption holds, we performed Egger regression for all traits investigated","population stratification may be a source of confounding but the original studies saw little evidence for such bias and all have appropriately controlled for it.","Finally, the statistical power is limited by both the proportion of the adiposity risk factors explained by the genetic instruments, and the sample size in the cancer genetic association studies","Repeated analysis after removing overlapping loci, same results","birth weight on breast cancer",0.00995033085316809,-0.415515443961666,0.425267735404344
8,"cancer_breast_cancer_birthweight_ER.csv",75,"no","yes","The association between weight at birth and breast cancer risk revisited using Mendelian randomisation",2018,"European Journal of Epidemiology","10.1007/s10654-019-00485-7","Kar","Siddhartha P. Kar","sk718@medschl.cam.ac.uk","Department of Public Health and Primary Care, University of Cambridge, Cambridge, UK","Effect of birth weight on breast cancer risk","Observational studies suggest that higher birth weight is associated with increased risk of breast cancer in adult life","Two-sample summary-level","breast cancer","ER-","cancer","Defined in GWAS","Michailidou  2017 Breast Cancer  European and East Asian  female","0","female",137045,119078,137045,119078,NA,"Case/control","European and East Asian","birth weight","birth weight","Horikoshi 2016 Birth weight  European both",NA,"both","143677",143677,NA,"Healthy","European","Not discussed","Not discussed","Not discussed","Took 41 of the 49 SNPs that were not associated with birth length, adult height, adult BMI, age at menarche, age at menopause, age at first birth, number of children ever born at P < 5x10-8","5x10-8","Not discussed","28 SNPs, proxy SNPs in linkage disequilibrium with the BW-associ- ated lead SNP (r2 > 0.6 in European samples)","Not discussed",NA,41,NA,49,"Took 41 of the 49 SNPs that were not associated with birth length, adult height, adult BMI, age at menarche, age at menopause, age at first birth, number of children ever born at P < 5x10-8","Yes",1,"IVW","MR Egger",1,1,1,NA,"Consistent with main analysis - Sensitivity analyses using four alternative methods and three alternative IVs, including an IV with 59 of the 60 BW-associated SNPs, yielded similar results.","F statistic (>10)","R","TwoSampleMR package","No","No","Not discussed","SD","Case/control","OR",0.92,NA,95,0.74,1.14,0.42,NA,NA,"lack of strong associations between the other birth weight SNPs and age at first birth and number of children ever born, not being able to adjust for these two putative breast cancer risk factors in our multivariable MR is highly unlikely to have substantially altered the overall conclusion from our MR study.","The BW-associated lead SNP at the 41 loci did not show genome-wide significant pleiotropic associations","Data on the association between BW and breast cancer risk in non-European populations is scarce","Genetic IV with maximum power (59-SNP IV) explained only 2% of the variance of BW, Horikoshi et al. study excluded individuals with extremes of BW (for the UK Biobank, which contributed nearly half the European sample, this was defined as < 2500 g or > 4000 g). Thus, the genetic IV we used may not adequately capture common genetic variants that only specifically affect the extremes of BW",NA,"birth weight on breast cancer",-0.083381608939051,-0.301105092783922,0.131028262406404
9,"cancer_breast_cancer_birthweight.csv",51,"no","yes","Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer",2016,"IJE","10.1093/ije/dyw129","Gao","Peter Kraft","pkraft@hsph.harvard.edu","Program in Genetic Epidemiology and Statistical Genetics, Harvard T.H. Chan School of Public Health, Boston, MA, USA,","Effect of birthweight, childhood and adult body mass index, and waist-hip ratio on the risks of breast, ovarian, prostate, colorectal and lung cancer","Adiposity traits have been associated with risk of many cancers in observational studies, but whether these associations are causal is unclear.","Two-sample summary-level","breast cancer","breast cancer","cancer","Defined in individual GWASs","Fehringer 2016 Breast All European both","18+","both",15748,18084,15748,18084,NA,"Healthy","European","birth weight","birth weight","Horikoshi 2013 Birth Weight Europeans both",NA,"both","Not discussed",69308,"Not discussed","Healthy","European",NA,NA,"Not discussed","Not discussed","5x10-8","Not discussed","r2  > 0.9","Not discussed",NA,NA,7,7,NA,"Not discussed",NA,"Inverse variance weighted","MR Egger",NA,NA,NA,NA,"Consistent with main analysis","Not discussed","Not discussed","Not discussed","Not discussed","Not discussed","Bonferroni for 48 tests","SD","Case/control","OR",1.22,NA,95,0.93,1.6,0.15,"None",NA,"Discuss several: MR assumptions, limits of summary level approach, limited power","To test for and correct for bias due to pleiotropy where the InSIDE assumption holds, we performed Egger regression for all traits investigated","population stratification may be a source of confounding but the original studies saw little evidence for such bias and all have appropriately controlled for it.","Finally, the statistical power is limited by both the proportion of the adiposity risk factors explained by the genetic instruments, and the sample size in the cancer genetic association studies","Repeated analysis after removing overlapping loci, same results","birth weight on breast cancer",0.198850858745165,-0.0725706928348354,0.470003629245736
10,"cancer_breast_cancer_birthweight.csv",75,"no","yes","The association between weight at birth and breast cancer risk revisited using Mendelian randomisation",2018,"European Journal of Epidemiology","10.1007/s10654-019-00485-7","Kar","Siddhartha P. Kar","sk718@medschl.cam.ac.uk","Department of Public Health and Primary Care, University of Cambridge, Cambridge, UK","Effect of birth weight on breast cancer risk","Observational studies suggest that higher birth weight is associated with increased risk of breast cancer in adult life","Two-sample summary-level","breast cancer","breast cancer","cancer","Defined in GWAS","Michailidou  2017 Breast Cancer  European and East Asian  female","0","female",137045,119078,137045,119078,NA,"Case/control","European and East Asian","birth weight","birth weight","Horikoshi 2016 Birth weight  European both",NA,"both","143677",143677,NA,"Healthy","European","Not discussed","Not discussed","Not discussed","Took 41 of the 49 SNPs that were not associated with birth length, adult height, adult BMI, age at menarche, age at menopause, age at first birth, number of children ever born at P < 5x10-8","5x10-8","Not discussed","26 SNPs, proxy SNPs in linkage disequilibrium with the BW-associ- ated lead SNP (r2 > 0.6 in European samples)","Not discussed",NA,41,NA,49,"Took 41 of the 49 SNPs that were not associated with birth length, adult height, adult BMI, age at menarche, age at menopause, age at first birth, number of children ever born at P < 5x10-8","Yes",1,"IVW","MR Egger",1,1,1,NA,"Consistent with main analysis - Sensitivity analyses using four alternative methods and three alternative IVs, including an IV with 59 of the 60 BW-associated SNPs, yielded similar results.","F statistic (>10)","R","TwoSampleMR package","No","No","Not discussed","SD","Case/control","OR",0.86,NA,95,0.73,1.01,0.06,NA,NA,"lack of strong associations between the other birth weight SNPs and age at first birth and number of children ever born, not being able to adjust for these two putative breast cancer risk factors in our multivariable MR is highly unlikely to have substantially altered the overall conclusion from our MR study.","The BW-associated lead SNP at the 41 loci did not show genome-wide significant pleiotropic associations","Data on the association between BW and breast cancer risk in non-European populations is scarce","Genetic IV with maximum power (59-SNP IV) explained only 2% of the variance of BW, Horikoshi et al. study excluded individuals with extremes of BW (for the UK Biobank, which contributed nearly half the European sample, this was defined as < 2500 g or > 4000 g). Thus, the genetic IV we used may not adequately capture common genetic variants that only specifically affect the extremes of BW",NA,"birth weight on breast cancer",-0.150822889734584,-0.3147107448397,0.00995033085316809
